household_id,camp_name,family_size,head_gender,head_age_group,food_insecurity_score,shelter_damage_score,chronic_disease_present,vulnerability_index
HH_01315,Camp Gamma,6,Female,36-50,0.38,0.54,1,0.57
HH_01316,Camp Alpha,2,Male,65+,0.62,0.37,1,0.58
HH_01317,Camp Gamma,5,Female,18-25,0.23,0.77,0,0.37
HH_01318,Camp Gamma,4,Male,36-50,0.3,0.14,1,0.4
HH_01319,Camp Alpha,4,Female,26-35,0.88,0.57,0,0.56
HH_01320,Camp Beta,5,Female,26-35,0.48,0.8,0,0.48
HH_01321,Camp Alpha,1,Female,36-50,0.88,0.34,0,0.46
HH_01322,Camp Gamma,7,Male,26-35,0.48,0.25,0,0.34
HH_01323,Camp Beta,7,Male,26-35,0.43,0.76,0,0.47
HH_01324,Camp Alpha,2,Male,51-65,0.73,0.15,0,0.36
HH_01325,Camp Gamma,1,Female,26-35,0.38,0.57,0,0.33
HH_01326,Camp Beta,5,Female,36-50,0.38,0.72,0,0.42
HH_01327,Camp Beta,3,Male,26-35,0.45,0.68,0,0.41
HH_01328,Camp Alpha,6,Female,18-25,0.71,0.5,0,0.49
HH_01329,Camp Gamma,5,Female,36-50,0.47,0.63,1,0.63
HH_01330,Camp Beta,4,Female,36-50,0.41,0.9,0,0.47
HH_01331,Camp Alpha,7,Male,36-50,0.52,0.21,0,0.34
HH_01332,Camp Gamma,7,Female,36-50,0.23,0.27,1,0.44
HH_01333,Camp Gamma,10,Male,26-35,0.62,0.18,0,0.4
HH_01334,Camp Beta,10,Male,65+,0.46,0.64,1,0.68
HH_01335,Camp Alpha,2,Female,36-50,0.95,0.56,1,0.77
HH_01336,Camp Gamma,7,Male,26-35,0.33,0.45,0,0.34
HH_01337,Camp Gamma,8,Male,26-35,0.28,0.49,0,0.34
HH_01338,Camp Gamma,2,Male,18-25,0.17,0.36,0,0.2
HH_01339,Camp Beta,9,Female,36-50,0.43,0.75,1,0.69
HH_01340,Camp Beta,3,Female,26-35,0.35,0.51,1,0.52
HH_01341,Camp Alpha,10,Female,65+,0.81,0.63,0,0.61
HH_01342,Camp Gamma,10,Male,26-35,0.43,0.56,0,0.44
HH_01343,Camp Beta,2,Male,36-50,0.84,0.94,0,0.64
HH_01344,Camp Alpha,2,Male,36-50,0.48,0.14,0,0.25
HH_01345,Camp Gamma,1,Male,26-35,0.42,0.6,0,0.36
HH_01346,Camp Beta,2,Male,51-65,0.7,0.78,0,0.53
HH_01347,Camp Beta,10,Female,26-35,0.1,0.94,0,0.42
HH_01348,Camp Gamma,4,Female,26-35,0.3,0.66,1,0.56
HH_01349,Camp Gamma,10,Female,18-25,0.41,0.72,0,0.48
HH_01350,Camp Alpha,6,Male,26-35,0.83,0.51,0,0.54
HH_01351,Camp Beta,7,Male,18-25,0.51,0.68,1,0.68
HH_01352,Camp Gamma,2,Female,26-35,0.19,0.8,0,0.34
HH_01353,Camp Beta,8,Female,36-50,0.59,0.4,0,0.44
HH_01354,Camp Beta,6,Male,26-35,0.64,0.76,1,0.74
HH_01355,Camp Alpha,7,Male,51-65,0.96,0.15,0,0.5
HH_01356,Camp Gamma,8,Female,36-50,0.17,0.55,0,0.31
HH_01357,Camp Alpha,9,Male,51-65,0.7,0.05,0,0.39
HH_01358,Camp Alpha,10,Female,36-50,0.81,0.04,0,0.44
HH_01359,Camp Alpha,10,Female,26-35,0.67,0.26,1,0.65
HH_01360,Camp Gamma,9,Female,36-50,0.61,0.69,1,0.74
HH_01361,Camp Gamma,4,Female,18-25,0.76,0.57,1,0.72
HH_01362,Camp Gamma,7,Female,36-50,0.15,0.51,0,0.28
HH_01363,Camp Alpha,1,Female,26-35,0.66,0.05,0,0.29
HH_01364,Camp Alpha,8,Female,18-25,0.58,0.3,1,0.6
HH_01365,Camp Beta,6,Male,36-50,0.52,0.84,0,0.52
HH_01366,Camp Alpha,4,Male,26-35,0.9,0.2,1,0.66
HH_01367,Camp Gamma,1,Male,26-35,0.63,0.71,0,0.47
HH_01368,Camp Alpha,4,Male,26-35,0.32,0.08,0,0.19
HH_01369,Camp Beta,10,Female,18-25,0.33,0.82,0,0.48
HH_01370,Camp Beta,5,Female,26-35,0.58,0.84,1,0.73
HH_01371,Camp Gamma,4,Female,36-50,0.48,0.14,0,0.27
HH_01372,Camp Alpha,7,Male,36-50,0.67,0.38,1,0.65
HH_01373,Camp Alpha,2,Female,65+,0.84,0.14,1,0.6
HH_01374,Camp Alpha,6,Male,18-25,0.61,0.21,1,0.57
HH_01375,Camp Alpha,1,Female,36-50,0.92,0.2,1,0.64
HH_01376,Camp Beta,4,Male,36-50,0.35,0.84,0,0.43
HH_01377,Camp Beta,9,Other,65+,0.55,0.34,0,0.41
HH_01378,Camp Gamma,4,Female,18-25,0.33,0.39,1,0.49
HH_01379,Camp Gamma,3,Male,65+,0.45,0.57,1,0.58
HH_01380,Camp Beta,7,Male,36-50,0.25,0.89,0,0.44
HH_01381,Camp Alpha,9,Male,36-50,0.74,0.01,0,0.39
HH_01382,Camp Alpha,8,Female,26-35,0.76,0.34,0,0.49
HH_01383,Camp Gamma,6,Female,18-25,0.52,0.52,0,0.42
HH_01384,Camp Alpha,1,Female,26-35,0.46,0.21,1,0.46
HH_01385,Camp Alpha,10,Male,51-65,0.87,0.21,0,0.51
HH_01386,Camp Beta,4,Other,36-50,0.64,0.45,0,0.43
HH_01387,Camp Beta,4,Male,26-35,0.86,0.9,0,0.65
HH_01388,Camp Alpha,5,Female,36-50,0.74,0.3,0,0.44
HH_01389,Camp Beta,7,Male,51-65,0.77,0.87,0,0.64
HH_01390,Camp Beta,10,Female,26-35,0.42,0.58,0,0.44
HH_01391,Camp Alpha,3,Female,51-65,0.87,0.56,1,0.75
HH_01392,Camp Gamma,7,Male,36-50,0.69,0.52,1,0.7
HH_01393,Camp Gamma,10,Female,26-35,0.44,0.7,0,0.49
HH_01394,Camp Gamma,9,Male,36-50,0.28,0.82,1,0.65
HH_01395,Camp Gamma,5,Female,36-50,0.5,0.28,0,0.33
HH_01396,Camp Alpha,1,Female,18-25,0.79,0.42,0,0.45
HH_01397,Camp Beta,2,Female,36-50,0.29,0.63,0,0.33
HH_01398,Camp Alpha,6,Male,36-50,0.64,0.41,1,0.64
HH_01399,Camp Alpha,2,Female,26-35,0.52,0.44,0,0.36
HH_01400,Camp Gamma,4,Female,51-65,0.46,0.25,0,0.3
HH_01401,Camp Beta,5,Female,36-50,0.27,0.79,1,0.59
HH_01402,Camp Gamma,9,Female,26-35,0.04,0.83,0,0.35
HH_01403,Camp Alpha,7,Male,36-50,0.83,0.03,0,0.41
HH_01404,Camp Gamma,2,Female,51-65,0.74,0.38,0,0.43
HH_01405,Camp Alpha,8,Male,26-35,0.51,0.1,0,0.31
HH_01406,Camp Alpha,10,Female,36-50,0.94,0.32,1,0.77
HH_01407,Camp Alpha,6,Male,26-35,0.67,0.29,0,0.41
HH_01408,Camp Gamma,6,Female,36-50,0.08,0.51,0,0.24
HH_01409,Camp Gamma,7,Male,18-25,0.47,0.82,0,0.5
HH_01410,Camp Gamma,8,Female,26-35,0.21,0.74,1,0.59
HH_01411,Camp Gamma,6,Male,26-35,0.44,0.09,0,0.26
HH_01412,Camp Beta,8,Female,36-50,0.55,0.69,0,0.51
HH_01413,Camp Beta,2,Male,36-50,0.49,0.62,0,0.4
HH_01414,Camp Alpha,8,Female,36-50,0.7,0.03,0,0.37
HH_01415,Camp Alpha,4,Male,26-35,0.74,0.22,1,0.6
HH_01416,Camp Gamma,1,Male,36-50,0.73,0.27,1,0.58
HH_01417,Camp Alpha,9,Male,36-50,0.63,0.19,0,0.4
HH_01418,Camp Gamma,6,Female,18-25,0.4,0.26,0,0.3
HH_01419,Camp Alpha,9,Female,51-65,0.58,0.35,1,0.63
HH_01420,Camp Alpha,8,Male,36-50,0.86,0.15,0,0.47
HH_01421,Camp Beta,10,Male,18-25,0.3,0.83,0,0.47
HH_01422,Camp Gamma,9,Female,65+,0.61,0.84,0,0.59
HH_01423,Camp Beta,4,Female,36-50,0.76,0.78,0,0.58
HH_01424,Camp Gamma,1,Female,65+,0.17,0.59,0,0.26
HH_01425,Camp Gamma,10,Female,26-35,0.33,0.26,0,0.31
HH_01426,Camp Beta,1,Female,26-35,0.46,0.89,0,0.46
HH_01427,Camp Beta,10,Male,36-50,0.12,0.69,1,0.56
HH_01428,Camp Alpha,9,Female,36-50,0.31,0.07,0,0.23
HH_01429,Camp Alpha,10,Female,26-35,0.85,0.32,1,0.74
HH_01430,Camp Beta,6,Female,65+,0.32,0.75,0,0.41
HH_01431,Camp Gamma,5,Male,26-35,0.36,0.81,1,0.64
HH_01432,Camp Gamma,9,Other,26-35,0.25,0.35,0,0.3
HH_01433,Camp Beta,10,Male,18-25,0.35,0.89,0,0.51
HH_01434,Camp Alpha,10,Female,26-35,0.71,0.42,0,0.51
HH_01435,Camp Alpha,7,Male,26-35,0.66,0.09,0,0.36
HH_01436,Camp Beta,2,Female,36-50,0.22,0.88,1,0.57
HH_01437,Camp Gamma,4,Male,26-35,0.22,0.66,0,0.33
HH_01438,Camp Beta,8,Male,26-35,0.18,0.62,0,0.34
HH_01439,Camp Gamma,6,Male,36-50,0.1,0.23,0,0.17
HH_01440,Camp Alpha,3,Male,65+,0.43,0.13,0,0.24
HH_01441,Camp Alpha,9,Female,36-50,0.78,0.36,0,0.51
HH_01442,Camp Alpha,7,Male,18-25,0.89,0.2,0,0.49
HH_01443,Camp Gamma,6,Female,36-50,0.34,0.68,0,0.4
HH_01444,Camp Beta,3,Male,65+,0.54,0.95,0,0.53
HH_01445,Camp Alpha,5,Female,36-50,0.42,0.59,0,0.39
HH_01446,Camp Beta,5,Male,18-25,0.41,0.85,0,0.47
HH_01447,Camp Alpha,10,Female,51-65,0.97,0.32,1,0.78
HH_01448,Camp Gamma,7,Male,18-25,0.33,0.18,1,0.46
HH_01449,Camp Alpha,8,Male,36-50,0.91,0.43,0,0.57
HH_01450,Camp Beta,2,Other,26-35,0.29,0.79,0,0.37
HH_01451,Camp Alpha,7,Male,26-35,0.56,0.35,0,0.4
HH_01452,Camp Gamma,9,Female,65+,0.58,0.55,0,0.49
HH_01453,Camp Alpha,8,Female,26-35,0.84,0.36,0,0.52
HH_01454,Camp Gamma,4,Female,36-50,0.46,0.79,0,0.46
HH_01455,Camp Alpha,9,Male,36-50,0.77,0.32,0,0.49
HH_01456,Camp Alpha,10,Male,26-35,0.86,0.55,0,0.61
HH_01457,Camp Gamma,5,Female,26-35,0.33,0.61,0,0.36
HH_01458,Camp Beta,4,Female,51-65,0.71,0.62,0,0.51
HH_01459,Camp Alpha,3,Female,51-65,0.95,0.18,0,0.46
HH_01460,Camp Beta,4,Female,36-50,0.69,0.69,1,0.72
HH_01461,Camp Beta,8,Male,18-25,0.53,0.79,0,0.53
HH_01462,Camp Gamma,8,Female,36-50,0.38,0.55,1,0.6
HH_01463,Camp Gamma,3,Male,36-50,0.28,0.21,0,0.21
HH_01464,Camp Gamma,8,Female,36-50,0.31,0.8,1,0.64
HH_01465,Camp Alpha,2,Female,26-35,0.92,0.37,0,0.5
HH_01466,Camp Alpha,8,Female,36-50,0.88,0.35,0,0.54
HH_01467,Camp Alpha,4,Other,26-35,0.25,0.28,0,0.22
HH_01468,Camp Gamma,8,Female,26-35,0.31,0.57,0,0.38
HH_01469,Camp Gamma,2,Female,36-50,0.41,0.64,0,0.38
HH_01470,Camp Alpha,2,Female,51-65,0.74,0.22,0,0.38
HH_01471,Camp Gamma,3,Female,26-35,0.73,0.09,0,0.35
HH_01472,Camp Beta,3,Female,36-50,0.47,0.83,0,0.47
HH_01473,Camp Gamma,3,Male,26-35,0.26,0.5,0,0.28
HH_01474,Camp Alpha,8,Female,18-25,0.83,0.45,0,0.55
HH_01475,Camp Gamma,8,Male,18-25,0.03,0.27,0,0.17
HH_01476,Camp Alpha,4,Female,26-35,0.56,0.58,0,0.44
HH_01477,Camp Alpha,3,Male,26-35,0.52,0.05,0,0.25
HH_01478,Camp Alpha,9,Male,36-50,0.98,0.15,0,0.53
HH_01479,Camp Alpha,6,Male,36-50,0.73,0.16,0,0.4
HH_01480,Camp Gamma,10,Other,26-35,0.41,0.28,1,0.55
HH_01481,Camp Alpha,5,Female,36-50,0.57,0.09,0,0.3
HH_01482,Camp Beta,3,Female,26-35,0.29,0.72,0,0.36
HH_01483,Camp Alpha,4,Female,36-50,0.68,0.32,1,0.61
HH_01484,Camp Alpha,4,Female,26-35,0.83,0.15,0,0.42
HH_01485,Camp Gamma,2,Female,18-25,0.1,0.31,0,0.15
HH_01486,Camp Beta,4,Male,51-65,0.66,0.67,0,0.51
HH_01487,Camp Gamma,8,Female,36-50,0.26,0.63,1,0.57
HH_01488,Camp Alpha,1,Male,26-35,0.5,0.2,0,0.27
HH_01489,Camp Gamma,1,Male,51-65,0.86,0.92,0,0.63
HH_01490,Camp Gamma,7,Male,65+,0.13,0.42,1,0.45
HH_01491,Camp Gamma,10,Female,26-35,0.05,0.3,1,0.41
HH_01492,Camp Gamma,3,Other,18-25,0.18,0.25,1,0.38
HH_01493,Camp Beta,3,Male,51-65,0.43,0.97,0,0.49
HH_01494,Camp Alpha,4,Female,18-25,0.95,0.22,0,0.49
HH_01495,Camp Beta,2,Female,26-35,0.47,0.82,1,0.65
HH_01496,Camp Beta,9,Female,26-35,0.41,0.74,0,0.48
HH_01497,Camp Alpha,10,Male,51-65,0.49,0.04,1,0.51
HH_01498,Camp Beta,1,Other,26-35,0.25,0.9,0,0.38
HH_01499,Camp Alpha,9,Female,51-65,0.82,0.41,0,0.54
HH_01500,Camp Alpha,10,Male,18-25,0.44,0.3,0,0.37
HH_01501,Camp Beta,5,Female,18-25,0.57,0.88,0,0.54
HH_01502,Camp Gamma,10,Female,51-65,0.83,0.53,1,0.79
HH_01503,Camp Alpha,6,Female,26-35,0.55,0.16,1,0.53
HH_01504,Camp Beta,4,Male,26-35,0.11,0.68,0,0.29
HH_01505,Camp Gamma,4,Female,36-50,0.17,0.64,0,0.3
HH_01506,Camp Beta,3,Male,26-35,0.34,0.93,1,0.65
HH_01507,Camp Alpha,1,Female,26-35,0.93,0.38,0,0.5
HH_01508,Camp Gamma,2,Female,26-35,0.19,0.43,1,0.43
HH_01509,Camp Alpha,4,Male,26-35,0.63,0.17,1,0.54
HH_01510,Camp Gamma,9,Female,18-25,0.7,0.62,1,0.76
HH_01511,Camp Gamma,9,Other,26-35,0.28,0.1,1,0.43
HH_01512,Camp Beta,9,Female,51-65,0.65,0.77,0,0.58
HH_01513,Camp Beta,1,Female,26-35,0.11,0.86,0,0.31
HH_01514,Camp Gamma,3,Male,51-65,0.41,0.71,0,0.41
HH_01515,Camp Alpha,8,Female,36-50,0.95,0.44,0,0.59
HH_01516,Camp Gamma,6,Female,36-50,0.17,0.44,0,0.26
HH_01517,Camp Gamma,1,Female,26-35,0.32,0.59,1,0.52
HH_01518,Camp Gamma,7,Male,26-35,0.47,0.54,0,0.42
HH_01519,Camp Alpha,6,Male,18-25,0.45,0.26,1,0.52
HH_01520,Camp Gamma,2,Male,26-35,0.59,0.62,0,0.44
HH_01521,Camp Alpha,4,Male,51-65,0.38,0.14,0,0.23
HH_01522,Camp Beta,7,Male,36-50,0.29,0.89,0,0.45
HH_01523,Camp Beta,1,Female,36-50,0.3,0.58,0,0.3
HH_01524,Camp Gamma,1,Male,26-35,0.69,0.72,1,0.7
HH_01525,Camp Gamma,10,Male,26-35,0.01,0.24,0,0.18
HH_01526,Camp Alpha,3,Female,26-35,0.67,0.23,0,0.37
HH_01527,Camp Alpha,6,Male,26-35,0.65,0.38,1,0.63
HH_01528,Camp Beta,5,Female,36-50,0.45,0.63,0,0.42
HH_01529,Camp Beta,7,Male,36-50,0.4,0.44,0,0.36
HH_01530,Camp Gamma,8,Male,51-65,0.48,0.58,0,0.45
HH_01531,Camp Beta,6,Female,26-35,0.68,0.69,1,0.74
HH_01532,Camp Gamma,10,Male,51-65,0.54,0.49,1,0.66
HH_01533,Camp Alpha,10,Other,36-50,0.82,0.29,0,0.52
HH_01534,Camp Alpha,9,Male,36-50,0.62,0.44,1,0.67
HH_01535,Camp Gamma,2,Other,26-35,0.6,0.6,1,0.64
HH_01536,Camp Alpha,6,Female,36-50,0.66,0.02,0,0.33
HH_01537,Camp Alpha,10,Male,26-35,0.88,0.46,0,0.59
HH_01538,Camp Beta,6,Female,36-50,0.44,0.86,1,0.69
HH_01539,Camp Alpha,5,Male,26-35,0.8,0.18,0,0.42
HH_01540,Camp Beta,1,Female,26-35,0.7,0.76,1,0.72
HH_01541,Camp Alpha,9,Male,18-25,0.34,0.5,0,0.38
HH_01542,Camp Gamma,1,Male,26-35,0.11,0.82,0,0.3
HH_01543,Camp Alpha,4,Female,36-50,0.79,0.38,0,0.47
HH_01544,Camp Gamma,1,Male,36-50,0.67,0.07,0,0.3
HH_01545,Camp Alpha,4,Other,26-35,0.88,0.35,1,0.7
HH_01546,Camp Alpha,2,Male,26-35,0.73,0.19,0,0.37
HH_01547,Camp Gamma,5,Other,36-50,0.54,0.19,0,0.32
HH_01548,Camp Gamma,5,Female,26-35,0.42,0.12,0,0.25
HH_01549,Camp Beta,3,Female,51-65,0.54,0.85,0,0.5
HH_01550,Camp Alpha,6,Female,51-65,0.96,0.07,0,0.47
HH_01551,Camp Gamma,5,Female,36-50,0.65,0.51,1,0.66
HH_01552,Camp Alpha,3,Female,36-50,0.54,0.15,0,0.29
HH_01553,Camp Beta,1,Male,36-50,0.56,0.62,1,0.62
HH_01554,Camp Gamma,2,Other,51-65,0.75,0.42,0,0.45
HH_01555,Camp Alpha,9,Male,26-35,0.84,0.15,0,0.47
HH_01556,Camp Beta,2,Female,36-50,0.28,0.84,0,0.38
HH_01557,Camp Gamma,2,Female,36-50,0.64,0.8,0,0.52
HH_01558,Camp Beta,1,Male,26-35,0.57,0.72,0,0.45
HH_01559,Camp Alpha,4,Female,36-50,0.68,0.27,0,0.39
HH_01560,Camp Gamma,4,Other,26-35,0.2,0.43,0,0.25
HH_01561,Camp Alpha,6,Female,36-50,0.79,0.22,0,0.44
HH_01562,Camp Gamma,4,Female,36-50,0.33,0.44,0,0.3
HH_01563,Camp Alpha,2,Male,51-65,0.8,0.45,0,0.48
HH_01564,Camp Beta,8,Male,36-50,0.38,0.77,0,0.46
HH_01565,Camp Alpha,4,Male,26-35,0.9,0.21,0,0.46
HH_01566,Camp Beta,10,Male,26-35,0.32,0.78,0,0.46
HH_01567,Camp Alpha,1,Female,51-65,0.54,0.19,0,0.28
HH_01568,Camp Gamma,6,Female,26-35,0.51,0.26,0,0.34
HH_01569,Camp Beta,5,Female,36-50,0.41,0.72,0,0.43
HH_01570,Camp Alpha,7,Female,18-25,0.84,0.11,0,0.44
HH_01571,Camp Beta,5,Male,26-35,0.74,0.87,1,0.81
HH_01572,Camp Gamma,3,Female,26-35,0.63,0.55,0,0.45
HH_01573,Camp Alpha,2,Male,26-35,0.63,0.43,0,0.4
HH_01574,Camp Beta,4,Female,51-65,0.61,0.71,0,0.5
HH_01575,Camp Alpha,7,Female,36-50,0.42,0.16,0,0.29
HH_01576,Camp Beta,2,Female,51-65,0.39,0.63,1,0.57
HH_01577,Camp Gamma,6,Male,36-50,0.27,0.59,0,0.35
HH_01578,Camp Alpha,4,Male,65+,0.69,0.58,0,0.49
HH_01579,Camp Gamma,7,Female,26-35,0.02,0.43,1,0.41
HH_01580,Camp Gamma,8,Female,51-65,0.28,0.44,1,0.52
HH_01581,Camp Gamma,1,Female,36-50,0.23,0.49,1,0.45
HH_01582,Camp Alpha,9,Female,26-35,0.75,0.17,1,0.64
HH_01583,Camp Alpha,8,Male,18-25,0.61,0.25,1,0.6
HH_01584,Camp Gamma,9,Male,18-25,0.59,0.44,0,0.46
HH_01585,Camp Beta,6,Male,18-25,0.5,0.92,1,0.74
HH_01586,Camp Beta,2,Female,36-50,0.36,0.92,1,0.64
HH_01587,Camp Gamma,3,Female,26-35,0.71,0.74,1,0.74
HH_01588,Camp Gamma,2,Female,36-50,0.46,0.35,1,0.51
HH_01589,Camp Alpha,5,Female,26-35,0.81,0.15,1,0.62
HH_01590,Camp Alpha,10,Other,26-35,0.79,0.36,0,0.52
HH_01591,Camp Beta,7,Male,18-25,0.38,0.28,0,0.31
HH_01592,Camp Alpha,9,Female,51-65,0.7,0.15,0,0.41
HH_01593,Camp Beta,5,Male,26-35,0.6,0.83,0,0.54
HH_01594,Camp Gamma,9,Male,36-50,0.08,0.64,0,0.31
HH_01595,Camp Alpha,8,Male,36-50,0.62,0.17,0,0.38
HH_01596,Camp Gamma,7,Female,36-50,0.26,0.66,0,0.37
HH_01597,Camp Gamma,2,Female,26-35,0.49,0.55,1,0.58
HH_01598,Camp Beta,4,Female,26-35,0.63,0.71,0,0.51
HH_01599,Camp Alpha,7,Male,36-50,0.74,0.58,0,0.54
HH_01600,Camp Gamma,10,Other,36-50,0.41,0.11,0,0.3
HH_01601,Camp Beta,1,Female,51-65,0.54,0.62,0,0.41
HH_01602,Camp Gamma,1,Female,51-65,0.21,0.79,0,0.33
HH_01603,Camp Gamma,10,Female,36-50,0.34,0.5,0,0.39
HH_01604,Camp Gamma,2,Female,51-65,0.68,0.21,0,0.36
HH_01605,Camp Gamma,2,Female,18-25,0.25,0.59,1,0.5
HH_01606,Camp Gamma,7,Male,51-65,0.71,0.8,0,0.59
HH_01607,Camp Alpha,5,Female,36-50,0.37,0.17,0,0.25
HH_01608,Camp Gamma,2,Female,51-65,0.43,0.25,0,0.27
HH_01609,Camp Alpha,4,Male,36-50,0.56,0.13,0,0.3
HH_01610,Camp Alpha,3,Male,26-35,0.44,0.13,0,0.25
HH_01611,Camp Beta,8,Female,51-65,0.26,0.65,0,0.38
HH_01612,Camp Beta,2,Male,65+,0.44,0.83,0,0.45
HH_01613,Camp Beta,10,Male,65+,0.26,0.86,0,0.46
HH_01614,Camp Alpha,1,Female,26-35,0.69,0.17,0,0.34
HH_01615,Camp Gamma,4,Other,18-25,0.12,0.54,0,0.25
HH_01616,Camp Alpha,8,Male,18-25,0.42,0.13,0,0.29
HH_01617,Camp Alpha,5,Male,36-50,0.97,0.31,1,0.73
HH_01618,Camp Gamma,9,Female,51-65,0.52,0.76,0,0.53
HH_01619,Camp Alpha,4,Female,18-25,0.84,0.3,0,0.47
HH_01620,Camp Beta,6,Male,36-50,0.33,0.54,0,0.35
HH_01621,Camp Alpha,4,Female,36-50,0.83,0.64,0,0.56
HH_01622,Camp Alpha,3,Male,36-50,0.38,0.09,0,0.21
HH_01623,Camp Alpha,10,Male,36-50,0.57,0.06,0,0.35
HH_01624,Camp Alpha,5,Female,36-50,0.79,0.15,1,0.61
HH_01625,Camp Alpha,10,Male,36-50,0.77,0.25,0,0.48
HH_01626,Camp Gamma,10,Female,36-50,0.39,0.7,0,0.47
HH_01627,Camp Beta,3,Female,51-65,0.31,0.75,0,0.38
HH_01628,Camp Alpha,2,Female,18-25,0.73,0.38,0,0.43
HH_01629,Camp Gamma,5,Female,36-50,0.42,0.24,1,0.49
HH_01630,Camp Alpha,9,Female,26-35,0.9,0.11,0,0.48
HH_01631,Camp Beta,10,Female,36-50,0.14,0.69,1,0.56
HH_01632,Camp Alpha,6,Female,26-35,0.91,0.5,1,0.77
HH_01633,Camp Gamma,9,Male,18-25,0.74,0.31,0,0.48
HH_01634,Camp Beta,3,Female,26-35,0.42,0.57,0,0.37
HH_01635,Camp Alpha,10,Female,26-35,0.86,0.3,0,0.53
HH_01636,Camp Gamma,1,Female,36-50,0.15,0.67,0,0.27
HH_01637,Camp Beta,2,Male,18-25,0.46,0.47,0,0.35
HH_01638,Camp Gamma,6,Female,36-50,0.01,0.46,0,0.2
HH_01639,Camp Beta,6,Female,26-35,0.72,0.83,0,0.6
HH_01640,Camp Alpha,2,Male,65+,0.73,0.24,1,0.58
HH_01641,Camp Alpha,6,Female,18-25,0.7,0.2,0,0.4
HH_01642,Camp Beta,1,Female,51-65,0.59,0.84,0,0.5
HH_01643,Camp Beta,9,Male,36-50,0.37,0.67,1,0.64
HH_01644,Camp Gamma,10,Male,18-25,0.39,0.43,0,0.39
HH_01645,Camp Alpha,8,Male,36-50,0.61,0.48,0,0.47
HH_01646,Camp Gamma,3,Female,18-25,0.16,0.42,0,0.22
HH_01647,Camp Alpha,6,Female,18-25,0.66,0.26,0,0.4
HH_01648,Camp Gamma,7,Female,26-35,0.41,0.38,0,0.35
HH_01649,Camp Beta,9,Male,51-65,0.14,0.71,0,0.36
HH_01650,Camp Gamma,6,Male,36-50,0.36,0.53,0,0.36
HH_01651,Camp Beta,1,Female,36-50,0.32,0.64,0,0.33
HH_01652,Camp Beta,3,Female,51-65,0.35,0.93,0,0.45
HH_01653,Camp Alpha,4,Female,36-50,0.9,0.48,0,0.54
HH_01654,Camp Alpha,9,Female,18-25,0.3,0.37,0,0.32
HH_01655,Camp Gamma,4,Female,36-50,0.33,0.4,0,0.29
HH_01656,Camp Beta,5,Male,26-35,0.58,0.69,1,0.69
HH_01657,Camp Alpha,3,Female,26-35,0.66,0.05,0,0.31
HH_01658,Camp Gamma,1,Female,18-25,0.34,0.81,1,0.59
HH_01659,Camp Beta,9,Female,36-50,0.48,0.7,0,0.49
HH_01660,Camp Alpha,2,Male,36-50,0.87,0.43,1,0.7
HH_01661,Camp Beta,2,Female,36-50,0.64,0.73,0,0.49
HH_01662,Camp Gamma,7,Female,36-50,0.41,0.74,0,0.46
HH_01663,Camp Alpha,6,Male,26-35,0.58,0.37,0,0.4
HH_01664,Camp Alpha,4,Male,36-50,0.91,0.09,0,0.43
HH_01665,Camp Alpha,6,Female,26-35,0.64,0.83,0,0.56
HH_01666,Camp Alpha,8,Female,36-50,0.62,0.1,0,0.36
HH_01667,Camp Beta,7,Female,26-35,0.71,0.77,0,0.58
HH_01668,Camp Gamma,8,Male,26-35,0.67,0.22,0,0.41
HH_01669,Camp Alpha,1,Male,18-25,0.91,0.52,0,0.53
HH_01670,Camp Gamma,1,Female,36-50,0.66,0.48,0,0.42
HH_01671,Camp Gamma,10,Male,26-35,0.36,0.55,0,0.41
HH_01672,Camp Beta,9,Male,26-35,0.63,0.6,0,0.52
HH_01673,Camp Beta,10,Female,36-50,0.45,0.83,0,0.53
HH_01674,Camp Alpha,6,Female,36-50,0.66,0.43,1,0.65
HH_01675,Camp Beta,6,Male,36-50,0.34,0.66,0,0.39
HH_01676,Camp Alpha,10,Female,26-35,0.34,0.15,1,0.48
HH_01677,Camp Alpha,2,Male,51-65,0.8,0.15,1,0.59
HH_01678,Camp Gamma,8,Male,26-35,0.15,0.88,1,0.6
HH_01679,Camp Alpha,8,Male,26-35,0.49,0.08,0,0.3
HH_01680,Camp Beta,10,Male,51-65,0.8,0.87,0,0.68
HH_01681,Camp Alpha,6,Male,26-35,0.61,0.48,0,0.45
HH_01682,Camp Gamma,8,Female,18-25,0.56,0.7,0,0.51
HH_01683,Camp Gamma,2,Female,65+,0.58,0.24,1,0.52
HH_01684,Camp Beta,9,Male,36-50,0.61,0.92,1,0.81
HH_01685,Camp Beta,3,Male,36-50,0.26,0.64,0,0.33
HH_01686,Camp Alpha,9,Female,26-35,0.82,0.23,0,0.49
HH_01687,Camp Alpha,2,Male,26-35,0.81,0.35,0,0.45
HH_01688,Camp Gamma,1,Male,36-50,0.14,0.37,0,0.18
HH_01689,Camp Alpha,6,Male,18-25,0.67,0.21,0,0.39
HH_01690,Camp Alpha,9,Female,36-50,0.55,0.44,1,0.64
HH_01691,Camp Alpha,10,Other,51-65,0.83,0.07,0,0.45
HH_01692,Camp Alpha,5,Female,36-50,0.57,0.43,1,0.61
HH_01693,Camp Alpha,10,Female,18-25,0.72,0.55,0,0.55
HH_01694,Camp Alpha,7,Male,36-50,0.74,0.3,1,0.66
